ReviewID,UserID,BookingID,Rating,Comment,ReviewDate
1,299,5,3,Service was okay for the price paid.,2024-12-24
2,5,10,5,"App is very easy to use, will book again.",2025-12-24
3,183,12,2,"App crashed during payment, had to retry.",2024-06-14
4,186,16,3,"Average experience, could improve UI.",2025-09-23
5,118,18,5,"Great deal, saved a lot with the coupon.",2026-04-21
6,180,22,5,Smooth booking experience and quick confirmation.,2026-06-14
7,147,23,5,Smooth booking experience and quick confirmation.,2025-04-22
8,176,24,4,Customer support helped resolve my issue quickly.,2024-09-02
9,267,25,5,Loved the itinerary reminders and updates.,2025-04-08
10,108,26,5,"App is very easy to use, will book again.",2024-06-24
11,88,28,4,"App is very easy to use, will book again.",2024-02-02
12,46,31,5,"App is very easy to use, will book again.",2025-04-02
13,17,37,5,"App is very easy to use, will book again.",2024-12-18
14,18,39,4,Loved the itinerary reminders and updates.,2024-08-03
15,174,43,4,Got the best price compared to other platforms.,2026-03-01
16,178,44,4,Got the best price compared to other platforms.,2026-04-07
17,187,47,5,Got the best price compared to other platforms.,2026-03-08
18,145,48,2,Refund took longer than expected.,2024-12-04
19,204,58,3,"Average experience, could improve UI.",2024-01-02
20,299,60,2,Customer support response was slow.,2024-09-25
21,248,61,5,Customer support helped resolve my issue quickly.,2024-07-02
22,223,62,4,Customer support helped resolve my issue quickly.,2025-03-11
23,125,70,5,"Great deal, saved a lot with the coupon.",2025-10-01
24,35,73,5,Got the best price compared to other platforms.,2025-02-13
25,257,76,4,"Great deal, saved a lot with the coupon.",2024-10-11
26,169,78,3,Service was okay for the price paid.,2025-04-16
27,75,80,1,Customer support response was slow.,2025-11-09
28,211,81,4,Loved the itinerary reminders and updates.,2024-11-07
29,184,82,4,"App is very easy to use, will book again.",2024-03-25
30,233,91,4,Got the best price compared to other platforms.,2024-04-12
31,290,93,5,"App is very easy to use, will book again.",2026-06-16
32,93,94,5,Got the best price compared to other platforms.,2024-05-08
33,286,96,5,"Great deal, saved a lot with the coupon.",2026-04-30
34,150,99,3,"Booking was fine, nothing exceptional.",2025-04-29
35,148,101,5,"App is very easy to use, will book again.",2025-03-26
36,131,104,5,Got the best price compared to other platforms.,2026-03-21
37,29,107,5,Customer support helped resolve my issue quickly.,2026-05-07
38,200,109,4,"App is very easy to use, will book again.",2024-07-14
39,269,112,2,"App crashed during payment, had to retry.",2024-11-25
40,268,113,4,Smooth booking experience and quick confirmation.,2024-04-30
41,267,114,4,Smooth booking experience and quick confirmation.,2026-02-28
42,77,115,3,Service was okay for the price paid.,2024-06-23
43,146,116,3,"Average experience, could improve UI.",2025-08-13
44,229,117,5,"App is very easy to use, will book again.",2025-10-03
45,68,118,5,"Great deal, saved a lot with the coupon.",2024-04-19
46,133,119,3,"Average experience, could improve UI.",2025-01-15
47,88,120,4,Got the best price compared to other platforms.,2024-10-20
48,229,126,3,"Booking was fine, nothing exceptional.",2024-07-29
49,57,128,4,"Great deal, saved a lot with the coupon.",2026-06-11
50,65,130,5,Smooth booking experience and quick confirmation.,2024-05-20
51,4,133,5,Got the best price compared to other platforms.,2025-08-22
52,19,138,2,Customer support response was slow.,2025-12-25
53,172,147,5,"Great deal, saved a lot with the coupon.",2024-10-12
54,173,148,5,Customer support helped resolve my issue quickly.,2025-11-28
55,290,150,4,Customer support helped resolve my issue quickly.,2026-04-15
56,219,151,2,Price changed between search and checkout.,2025-12-19
57,53,153,5,Smooth booking experience and quick confirmation.,2024-02-16
