HotelID,Name,Location,CheckInDateTime,CheckOutDateTime,PricePerNight,AvailableRooms
1,Radisson Palm Chandigarh,Chandigarh,2026-07-29 14:00:15,2026-07-31 11:00:15,15617.64,54
2,Novotel Skyline Bengaluru,Bengaluru,2024-03-05 14:00:15,2024-03-09 11:00:15,12964.57,3
3,Ginger Skyline Udaipur,Udaipur,2024-01-20 14:00:23,2024-01-21 11:00:23,14827.13,21
4,Radisson Garden Dehradun,Dehradun,2024-07-14 14:00:46,2024-07-15 11:00:46,20005.71,44
5,Oberoi Palm Dehradun,Dehradun,2026-08-31 14:00:12,2026-09-01 11:00:12,19966.1,36
6,Marriott Grand Varanasi,Varanasi,2024-03-08 14:00:48,2024-03-15 11:00:48,21221.68,37
7,ITC Central Chennai,Chennai,2026-03-26 14:00:04,2026-03-29 11:00:04,6657.54,53
8,ITC Royal Chandigarh,Chandigarh,2025-11-10 14:00:31,2025-11-17 11:00:31,11916.02,22
9,Oberoi Riverside Mumbai,Mumbai,2024-07-19 14:00:50,2024-07-21 11:00:50,14024.41,39
10,Lemon Tree Palace Amritsar,Amritsar,2026-03-23 14:00:58,2026-03-24 11:00:58,11710.19,22
11,OYO Premium Skyline Guwahati,Guwahati,2026-02-07 14:00:23,2026-02-09 11:00:23,3531.02,39
12,Lemon Tree Heritage Goa,Goa,2025-05-19 14:00:34,2025-05-20 11:00:34,9476.0,50
13,Marriott Royal Udaipur,Udaipur,2024-11-11 14:00:08,2024-11-14 11:00:08,3648.71,60
14,Lemon Tree Royal Goa,Goa,2026-06-29 14:00:15,2026-07-06 11:00:15,4476.64,11
15,Treebo Skyline Indore,Indore,2026-07-08 14:00:45,2026-07-13 11:00:45,3886.52,5
16,Marriott Skyline Lucknow,Lucknow,2024-07-09 14:00:00,2024-07-14 11:00:00,2049.28,26
17,OYO Premium Lakeview Chandigarh,Chandigarh,2024-06-22 14:00:19,2024-06-24 11:00:19,5225.58,24
18,Lemon Tree Palace Kolkata,Kolkata,2024-10-11 14:00:27,2024-10-14 11:00:27,4747.88,10
19,Ginger Royal Indore,Indore,2025-07-19 14:00:54,2025-07-22 11:00:54,9094.72,60
20,Radisson Palace Ahmedabad,Ahmedabad,2026-10-12 14:00:11,2026-10-17 11:00:11,3960.84,19
21,OYO Premium Skyline Delhi,Delhi,2026-03-21 14:00:44,2026-03-28 11:00:44,18042.34,21
22,OYO Premium Heritage Surat,Surat,2025-11-16 14:00:41,2025-11-23 11:00:41,7868.79,38
23,ITC Skyline Shimla,Shimla,2025-02-15 14:00:24,2025-02-18 11:00:24,21368.25,18
24,Radisson Riverside Manali,Manali,2026-10-02 14:00:01,2026-10-09 11:00:01,9396.32,52
25,Radisson Central Chandigarh,Chandigarh,2026-01-17 14:00:47,2026-01-22 11:00:47,21944.75,11
26,Radisson Palace Varanasi,Varanasi,2024-02-25 14:00:25,2024-03-02 11:00:25,17913.25,53
27,Ginger Heritage Shimla,Shimla,2024-05-21 14:00:47,2024-05-27 11:00:47,14593.39,15
28,Novotel Royal Jaipur,Jaipur,2024-11-11 14:00:20,2024-11-18 11:00:20,10871.15,38
29,Novotel Lakeview Nagpur,Nagpur,2026-03-31 14:00:20,2026-04-05 11:00:20,2542.66,23
30,Radisson Riverside Shimla,Shimla,2024-06-23 14:00:55,2024-06-30 11:00:55,5160.04,39
31,Novotel Royal Mumbai,Mumbai,2026-03-29 14:00:23,2026-04-05 11:00:23,2013.07,16
32,OYO Premium Central Ahmedabad,Ahmedabad,2026-11-11 14:00:19,2026-11-16 11:00:19,6264.84,23
33,Treebo Heritage Chandigarh,Chandigarh,2026-08-06 14:00:47,2026-08-12 11:00:47,8768.34,1
34,Oberoi Royal Nagpur,Nagpur,2024-08-02 14:00:22,2024-08-06 11:00:22,18592.62,46
35,Ginger Garden Chennai,Chennai,2025-12-14 14:00:20,2025-12-17 11:00:20,12326.52,22
36,Ginger Riverside Nagpur,Nagpur,2024-07-18 14:00:11,2024-07-24 11:00:11,3156.92,2
37,Marriott Royal Shimla,Shimla,2024-08-23 14:00:20,2024-08-30 11:00:20,15478.21,10
38,Treebo Heritage Manali,Manali,2025-05-14 14:00:12,2025-05-16 11:00:12,8485.99,27
39,ITC Heritage Surat,Surat,2025-04-19 14:00:50,2025-04-25 11:00:50,14737.67,27
40,Ginger Central Chandigarh,Chandigarh,2024-02-29 14:00:32,2024-03-02 11:00:32,10476.97,0
